"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"18","2001 Statistics and Data 4g7t9e6d0b9n","https://www.upwork.com/job/2001-Statistics-and-Data-4g7t9e6d0b9n_~01a4c5c0832c84e83f/","Intermediate",50,2019-06-12,"Need Your help with Data Analysis in R and Statistic Methods","R",NA,"$600k+ ","4.81 Stars, based on 3668 feedbacks","Estonia",NA,4.81,3668
"19","Betfair Betting API - R","https://www.upwork.com/job/Betfair-Betting-API_~01980ec70d38d05118/","Expert",NA,2019-06-12,"Looking for a developer experienced in building to connect with the Betfair Betting API: https://docs.developer.betfair.com/display/1smk3cen4v3lu3yomq5qye0ni/Betting+API We have an automated R script for betting that will output betting selections. We need a developer to interface with our betting script output, to build an R connector to Betfair in order to place the bets and retrieve the outcomes from Betfair. Example R package: https://github.com/phillc73/abettor less","R",NA,"$20k+ ","4.60 Stars, based on 119 feedbacks","Australia",NA,4.6,119
"20","Data Scientists / Machine Learning Expert needed for generating credit card fraud system","https://www.upwork.com/job/Data-Scientists-Machine-Learning-Expert-needed-for-generating-credit-card-fraud-system_~01937eb01493155adf/","Intermediate",NA,2019-06-11,"I will share the details with a shortlisted developer. Thanks.","R, Scikit-Learn, TensorFlow, deeplearn.js, GoLearn, Python, ",NA,"$300+ ","5.00 Stars, based on 4 feedbacks","Greece",NA,5,4
"21","Need someone to create a machine/robot/AI for historical analysis and predictive analytics","https://www.upwork.com/job/Need-someone-create-machine-robot-for-historical-analysis-and-predictive-analytics_~0159b388bfa1db587a/","Intermediate",NA,2019-06-11,"We need someone to build an AI/machine/robot that can quickly analyze historical data and do predictive analytics for our hybrid mobile app. We need someone who's at least knowledgeable in either of the following: python, tensorflow, IBM Watson. We're looking for someone who can communicate his/her ideas easily and explain complex concepts in simple terms. less","R, Scikit-Learn, TensorFlow, Weka, H2O, Shogun, Spark MLlib,  ",NA,"$0 ","No feedback yet","Philippines",NA,NA,NA
"22","Python/R Expert Needed for CHAID Decision tree model","https://www.upwork.com/job/Python-Expert-Needed-for-CHAID-Decision-tree-model_~011664d121d4ab5223/","Intermediate",150,2019-06-11,"I am looking for an experienced Python/R user who help me to implement CHAID decision model on my data. The successful applicant will have: * Strong understanding of Python / R * Good knowledge of decision decision tree model mostly CHAID statistic model *Good English and communications skills We use SPSS to generate a CHAID tree. We were running CHAID on continuous predictors with SPSS Modeler and it worked fine. SPSS do many things under the hood, I would like to test my data with available CHAID package (Python/R) in order to see if it will give a reasonable result and similar to SPSS output or not. The aim here to run CHAID model on continuous predictors. CHAID decision tree model basically select the predictor that is most significant and then split it into nodes based on significant level. Accordingly it will take predictor and test each one against the predictor variable. We can use Python CHAID package, however we might also need to evaluate other available decision trees package if python CHAID package will not give a valid result. (The SPSS output will be provided for comparison if needed). Data has 5 continuous target variables -- dependent variable and I would like to run CHAID decision tree for each separately to find most significant predictor variables. The data will be in csv format in very tidy form (no data cleaning is needed). less","R, Python",NA,"$100+ ","5.00 Stars, based on 1 feedback","Norway",NA,5,1
"23","Convert Matlab code into Python code","https://www.upwork.com/job/Convert-Matlab-code-into-Python-code_~01bc975b2cf4f85e51/","Expert",1000,2019-06-11,"We would like to convert the Matlab code found here: https://github.com/FRBNY-TimeSeriesAnalysis/Nowcasting/blob/master/README.md into a fully functional Python code. The Matlab code refers to an external Kalman filter module, which is not in the ""functions"" folder in the code. The data files are attached. less","R, Python",NA,"$300+ ","4.88 Stars, based on 6 feedbacks","United States",NA,4.88,6
"24","Looking for an experienced R/Phyton developer to run a couple of projects.","https://www.upwork.com/job/Looking-for-experienced-Phyton-developer-run-couple-projects_~018f5d602226f66abe/","Entrylevel",20,2019-06-11,"I'll be sharing a couple of easy problems to solve so as to choose my final collaborator. I will provide a Wheather Data Set in order to identify rain probability. The job approach is really open to you, you'll decide what to plot and how. It would be great to have 2 different algorithm approaches less","R, Python",NA,"$90+ ","4.92 Stars, based on 5 feedbacks","Spain",NA,4.92,5
"25","Build and explain a time series prediction model and calculate abnormal return of sport performance","https://www.upwork.com/job/Build-and-explain-time-series-prediction-model-and-calculate-abnormal-return-sport-performance_~013e838e2531c5201d/","Intermediate",NA,2019-06-11,"I am working on a paper in which I need to calculate whether 'sacking' the coach mid season has an impact on the sports performance of soccer teams. I have already collected the data for 10 years (results for ca. 6800 matches), including the budget of the team, the rank of the team, the budget of the opponent and whether it is a home or away match for ever match. Each match is coded with a 0 or 1 for whether the manager has changed or not. Essentially, I need to build a model which predicts the performance of the team considering all the different factors mentioned above and then calculate the abnormal return on the performance if the manager has changed mid season. I need someone to explain me how to do this (preferably using R, but I am open to other programs). Thank you less","R, SAS",NA,"$700+ ","5.00 Stars, based on 3 feedbacks","Germany",NA,5,3
"26","Need data scientist with R proficiency to help build out an econometric simulation","https://www.upwork.com/job/Need-data-scientist-with-proficiency-help-build-out-econometric-simulation_~019656afa12d5c057f/","Expert",NA,2019-06-10,"For this project, we are looking to take an existing dataset + model design and build a machine learning simulation that projects changes to housing demand for various US zip codes on a year-by-year basis. This simple model will first predict housing demand (expressed as Housing Price Index value) for the following year based on economic/demographic attributes of a given zip code. Then, those demographics will be updated based on growth assumptions, and then HPI calculated again for the following year, and so on. Seeking a developer proficient in the R language as well as comfortable with core concepts of Machine Learning/statistical inference less","R, Data Engineering, SQL",NA,"$8k+ ","4.87 Stars, based on 23 feedbacks","United States",NA,4.87,23
"27","ML expert needed for creating a predictive model","https://www.upwork.com/job/expert-needed-for-creating-predictive-model_~010e5e8474b0b54d8c/","Expert",NA,2019-06-10,"Need a prediction model for a fintech startup. more info after NDA","R, Weka, Accord.net, deeplearn.js, H2O",NA,"$0 ","No feedback yet","Russia",NA,NA,NA
"28","Content Development for Minitab","https://www.upwork.com/job/Content-Development-for-Minitab_~019b0229aba52b25a6/","Expert",4000,2019-06-10,"Looking for a Subject Matter Expert (SME) to collaborate with us to develop the Course content for Minitab training for our E-learning Portal. The SME is to provide us Videos, Slides for trainer's deck, Assignments, Outlines for creating infographi ... more","R",5,"$10k+ ","4.58 Stars, based on 19 feedbacks","United States",NA,4.58,19
"29","Solve Neural Network Questions","https://www.upwork.com/job/Solve-Neural-Network-Questions_~0169df29235f7871f3/","Intermediate",50,2019-06-10,"Need help to solve a few questions related to Neural Network and few questions to be solved using R. If you are good in Neural Network and can solve and write answers in word file.","R, Artificial Neural Networks, Data Science,  ",NA,"$60 ","1.67 Stars, based on 2 feedbacks","India",NA,1.67,2
"30","Create dashboard to visualize data analysis","https://www.upwork.com/job/Create-dashboard-visualize-data-analysis_~01c4f5b510b1389941/","Entrylevel",60,2019-06-10,"Create dashboard to visualize data analysis using Shiny or PowerBI. I will provide more details on chat.","R",NA,"$8k+ ","4.76 Stars, based on 54 feedbacks","India",NA,4.76,54
"31","my own dataset and create a complete R project","https://www.upwork.com/job/own-dataset-and-create-complete-project_~01a44ceb4def46253b/","Intermediate",150,2019-06-09,"The submission for the choose-your-own project will be three files: a report in the form of both a PDF document and Rmd file and the R script or Rmd file that performs your machine learning task. We recommend submitting a link to a GitHub repository ... more","Data analytics, Data Science, Data Visualization, R, ",2,"$2k+ ","4.77 Stars, based on 20 feedbacks","Colombia",NA,4.77,20
"32","A statistician for validation of a medical questionnaire","https://www.upwork.com/job/statistician-for-validation-medical-questionnaire_~01eedc5f5ea45b2008/","Intermediate",NA,2019-06-08,"I am looking for an experienced statistical analyst for an ongoing project in validation of a translated medical questionnaire. As this is my first project in this area; someone open to explain the theory and the analysis is preferred.","IBM SPSS, R, SAS, Data Analytics,  ",NA,"$0 ","No feedback yet","Saudi Arabia",NA,NA,NA
"33","Markov chains & stepping stone algorithm consultation","https://www.upwork.com/job/Markov-chains-amp-stepping-stone-algorithm-consultation_~01d6e89c4b7e8efcd0/","Entrylevel",NA,2019-06-08,"Need help with an assignment for markov chains and stepping stone models","R",NA,"$400+ ","4.98 Stars, based on 6 feedbacks","Malta",NA,4.98,6
"34","Experienced Data Scientist","https://www.upwork.com/job/Experienced-Data-Scientist_~01b9a0224b70bae066/","Expert",NA,2019-06-08,"I require an experienced Data Scientist who is available to work with me for 2-3 hours a day over a given week.","Python, Big Data, Data Science, Machine Learning, R, ",NA,"$80+ ","5.00 Stars, based on 1 feedback","United Kingdom",NA,5,1
"35","Fitting data using local absolute linear regression","https://www.upwork.com/job/Fitting-data-using-local-absolute-linear-regression_~011c3e30eaa0f898fc/","Entrylevel",30,2019-06-07,"Fitting data using local absolute linear regression, and test goodness of fit. I will provide complete details on chat.","R",NA,"$8k+ ","4.76 Stars, based on 54 feedbacks","India",NA,4.76,54
"36","Dev needed to analyze traffic flow when accident occur. (not have to show all casese)(small scale)","https://www.upwork.com/job/Dev-needed-analyze-traffic-flow-when-accident-occur-not-have-show-all-casese-small-scale_~013232eee8f76e0c3f/","Expert",1000,2019-06-07,"The deliverable is source code which can run completely. The result is would be showed in maps form and graph Maps can tells where the accident occur ( show in dots) When click at the dots it can shows the traffic speed before and after accident I have the example of work but it is still not complete the result should look like the file in additional project files less","R",NA,"$0 ","No feedback yet","Thailand",NA,NA,NA
"37","r language time series forecast model developer","https://www.upwork.com/job/language-time-series-forecast-model-developer_~01a9a2407655d9ec68/","Expert",NA,2019-06-07,"project & deliverables: * analyze historical data from two different business units in order to select best forecast models. -1st business unit has high volume during holiday season requiring hourly and daily volume prediction. -2nd business unit has high from returning customers requiring monthly volume prediction. * setup fully working models for user less","R",NA,"$800+ ","5.00 Stars, based on 2 feedbacks","United States",NA,5,2
"38","Analysis of existing databases - Medical","https://www.upwork.com/job/Analysis-existing-databases-Medical_~01b74d797d69c75e0f/","Intermediate",100,2019-06-06,"I need someone with statistical aptitude to analyze inpatient data from databases I have access too. These results will end up being published in medical journals. Someone with previous experience with inpatient analysis is preferred. SAS, SPSS, STATA are recommended less","R",NA,"$2k+ ","4.17 Stars, based on 10 feedbacks","United States",NA,4.17,10
"39","Moderated mediation analysis in R.","https://www.upwork.com/job/Moderated-mediation-analysis_~0175ac10fe34f2d0c4/","Expert",NA,2019-06-06,"I am a master's student at the University of Edinburgh. I will need assistance importing survey data from Qualtrics to R, analyzing it for moderated mediation, and interpreting output (Hayes Model 7, attached in photo section - although I might also want to test for total effect moderation). less","R",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"40","Quant needed to build trading model","https://www.upwork.com/job/Quant-needed-build-trading-model_~01815a05da02ecd4a0/","Expert",NA,2019-06-06,"Hello I am looking for someone who can make the live data(candlesticks,OHLC bars,Heiken ashi etc) on my stock charts horizontal/normalised/detrended so to speak much like or exactly the same as the pictures and video I will provide, I am only interested in the chart data and not the quotes or anything else in the video . thank you https://www.youtube.com/watch?v=lE2TMC8UwGQ&list=PLjtM0xGIqmcqfyzztx1BQoHITWezAABXD&index=176&t=7s Above is the link to the video that demonstrates what I am trying to explain. And I will also post the links that the creator of the video/project posted on github with more details about the project hopefully it helps: https://github.com/MKwenhua/real-time-charts https://github.com/MKwenhua/market-feed-sim less less","d3.js, Ggplot2, Google Data Studio, Matplotlib, R,   ",NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"41","Pretty simple R Shiny problem - changing colour of label of numericinput widget","https://www.upwork.com/job/Pretty-simple-Shiny-problem-changing-colour-label-numericinput-widget_~0193b3bfa95119bf7e/","Entrylevel",NA,2019-06-06,"Hello, I'm trying to tackle a very specific problem. I am trying to change the colour of the label of a numericInput user input, in Shiny, using shinyjs. I am able to change the 'color', 'background-color', etc. with the following code: library(shiny) library(shinyjs) jsCode_txt <- ""shinyjs.TextCol = function(params){$('#Q').css('background-color', params);}"" ui <- fluidPage( useShinyjs(), extendShinyjs(text = jsCode_txt), numericInput(""Q"", min = 0, max = 110, label = (""Q1""), value = NA) ) server <- function(input, output,session) { # Q observeEvent(input$Q,{ if(is.null(input$Q) == T || is.na(input$Q)==T ){ js$TextCol(""blue"") } else{ js$TextCol(""green"") } }) } shinyApp(ui = ui, server = server) Just can't seem to crack changing the label colour. If you can help, I'd be pleased to hear a quote. Cheers, Tom less","R Shiny, Shiny",NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"42","Power BI Developer / Deployment Expert Needed","https://www.upwork.com/job/Power-Developer-Deployment-Expert-Needed_~017b05b05f6058e579/","Intermediate",75,2019-06-06,"We are looking for a partner to build seven dashboards in Power BI. - The data is already curated and in a single flat file - Dashboard designs are complete Phase 1 - $75 - we will hire multiple developers to build one single dashboard. Our goal i ... more","R, Tableau Software, PowerBI, Qlikview",3,"$5k+ ","4.84 Stars, based on 4 feedbacks","United States",NA,4.84,4
"43","R PROGRAMMING PROJECT-2","https://www.upwork.com/job/PROGRAMMING-PROJECT_~01e3f981ee1511d5db/","Entrylevel",50,2019-06-06,"WE NEED TO ANALYZE THE DATA IN R PROGRAMMING THEN WE NEED TO ANSWER THE QUESTIONS","R",NA,"$1k+ ","4.13 Stars, based on 4 feedbacks","India",NA,4.13,4
"44","Convert MATLAB code to R tidyverse code","https://www.upwork.com/job/Convert-MATLAB-code-tidyverse-code_~01e3a5abeb559f7f89/","Intermediate",50,2019-06-05,"There is some MATLAB code that I want to be converted into R code in the tidyverse syntax. The MATLAB code is located here: https://osf.io/647sy/ Obviously, the R code should produce the same outputs as the MATLAB code does. The two essential requirements are: 1) Use the same names for R script files as the original .m files (functions and the main file) 2) The converted R code should be in tidyverse syntax less","MATLAB, R, Statistics",NA,"$0 ","No feedback yet","Canada",NA,NA,NA
"45","Need to clean data pre-analysis","https://www.upwork.com/job/Need-clean-data-pre-analysis_~01bc1abe1f2513aab6/","Intermediate",100,2019-06-05,"I have a very large unworkable data-set that I need to run analyses on. I am looking for someone who is comfortable working with large data and delivering a clean data-set in a workable form. The data are speech from political deliberations in Canada from 1903-2015 and public opinion data that need to be merged. less","Pandas, R, Python, Data Mining, Data Science,  ",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"46","Programmer needed to create a script using an open source software for in-depth data analysis","https://www.upwork.com/job/Programmer-needed-create-script-using-open-source-software-for-depth-data-analysis_~0156d01d244d1d371f/","Expert",250,2019-06-05,"Objective: To determine if the order in which applications are made, and the time between signup and applications, influences conversion rate and transaction value. We are also interested in where applications to certain lenders fall in a sequence, and whether that application was made in isolation, or as part of a cluster of applications. Background: Our service connects users with various lending options based on their profile. The average number of applications per user is approximately 1.6, which has a skewed distribution to a long tail that can stretch to 10 or more applications. A user will sometimes apply to several options in 1 single sessions, and sometimes can wait several months before applying again. We are trying to gain insights from the order and time differences in which the applications are made to ascertain if certain lending options should be presented at different times, or not at all. ‘Success’ for our business is measured in Transactions, ie: the application leads to an approval and there is commission earned. The magnitude of the commission is secondary to whether there is a commission at all. Data Fields: ApplicationID - integer string - unique for each application UserID - integer string - unique for each user StatusID - numerical code for status of the application, which is one of 6 possible codes. User Created Date - Date and time stamp - when the user joined the platform Application Created Date - Date and time stamp - when the application was created Year, Month, Day, Weekday, Week# - simple breakdown of Application Created Date into components LenderID - integer string - unique numerical identifier for each lender PartnerID - integer string - unique numerical identifier for each affiliate partner Credit Score ID - numerical indicator (from 1 to 5) denoting the user’s credit score band (eg: Fair, Good, Excellent etc.) Transaction Value - currency string - value of the commission arising from an application, if any. Transaction Date - when the transaction occurred App. Rec. - if the application was created during the month-end reconciliation process. Any row where this value = 1 has a Transaction Date that is earlier than the Application Date, and thus any analysis comparing those 2 fields should exclude these rows. less","Apache Hive, Knime, R, Python",NA,"$0 ","No feedback yet","Canada",NA,NA,NA
"47","A simple maximization problem in Empirical Industrial Organization using Maximum Likelihood.","https://www.upwork.com/job/simple-maximization-problem-Empirical-Industrial-Organization-using-Maximum-Likelihood_~01939479aa709efcef/","Intermediate",NA,2019-06-05,"I am looking for someone who is familiar with using Maximum Likelihood estimation in Empirical Industrial organization. I have a simple model of firms' entry into different markets, and need to estimate the cost function. However I need help for programming and empirical implementation in Matlab. Your job is to give me the estimation program in Matlab (or R if needed) after reading the model and its solution that I provide, and estimating using the data I provide. If you are familiar with ""Entry and Competition in Concentrated Markets"" by Bresnahan and Reiss, Journal of Political Economy (1991), this should be relatively easy. less","R, Econometrics, MATLAB",NA,"$1k+ ","5.00 Stars, based on 4 feedbacks","United States",NA,5,4
"48","Typist for transcribing (Microsoft Word & a little Excel)","https://www.upwork.com/job/Typist-for-transcribing-Microsoft-Word-amp-little-Excel_~01da8bdcaf9b4ff9c1/","Entrylevel",NA,2019-06-05,"Looking for part-time (10 to 15 hours per week) help with transcription for 1 to 2 months. I am a Stanford University researcher with an arm injury that is preventing me from using a computer. I would like someone who I can dictate to over the phone or Skype, who will control the computer on my behalf. Tasks will include typing text into Microsoft Word and entering commands in Excel (no programming skills required). Must be fluent in English, have flexible working hours, and be available throughout the day. Looking forward to working with you! less","Administrative Support, Data Entry, Microsoft Word, R,  ",NA,"$1k+ ","No feedback yet","United States",NA,NA,NA
