"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"12","Data Manager and CAPI technicians","https://www.upwork.com/job/Data-Manager-and-CAPI-technicians_~0172ef78868c035b5d/","Intermediate",NA,2019-07-12,"Data Manager • At least a bachelor’s degree in statistics, computer science or advanced degree in economics, social sciences or related field with a strong quantitative focus is essential. • At least five years of experience in the management of concurrent data entry and cleaning is preferred. Experience with concurrent double data entry is strongly preferred. • Experience with conducting high-frequency data quality checks and providing real-time feedback to teams is required, as is the ability to manage and store data securely. • The ability to train and supervise data entry clerks and to manage teams is required. • Proficiency in STATA is required. Experience with archiving is strongly preferred. • Experience with CAPI methods is required. CAPI technicians • At least a first university degree in statistics, computer science, economics, social sciences or related field with a strong quantitative focus. • At least one year of experience in data cleaning and data entry using concurrent data entry systems is preferred. • Exposure to CSPro or other similar data entry software is required. • Ability to troubleshoot and fix any technology issues that arise in the field • Ability to follow up on daily basis if field teams are facing any IT related challenges and provide technical support as needed. • Ability to prepare a weekly status report on any reported and addressed issues and timely submit the report to the Project Manager and Data Manager and in a timely manner (the Project Manager will then submit it to the WB SDI team). less",NA,3,"$3k+ ","4.48 Stars, based on 20 feedbacks","Bhutan",NA,4.48,20
"13","Monte Carlo Simulation from Excel to R/Python (Native German requirement)","https://www.upwork.com/job/Monte-Carlo-Simulation-from-Excel-Python-Native-German-requirement_~015cd11e54330a538c/","Intermediate",300,2019-07-12,"There exist a paper together with an Excel spreadsheet (incl. Macros) that I wish to translate into R (preferred) or Python. The thesis is written in German. Requirements: - German (fluent/native) - Monte Carlo Simulation - Advanced skills in Excel and VBA - Advanced skills in R (preferred) or Python - Finance/Insurance Economics background (preferred) less","Microsoft Excel, R, Python",NA,"$0 ","No feedback yet","Germany",NA,NA,NA
"14","Looking for somebody who could process data in SPSS for thesis","https://www.upwork.com/job/Looking-for-somebody-who-could-process-data-SPSS-for-thesis_~01345da18be8f749a6/","Intermediate",100,2019-07-12,"I have data for my thesis in Excel, need somebody to put data into SPSS and run the tests that are necessary. Sample is only 100 respondents.","IBM SPSS",NA,"$400 ","5.00 Stars, based on 5 feedbacks","Ireland",NA,5,5
"15","Reporting Specialist","https://www.upwork.com/job/Reporting-Specialist_~01aad390b3eaf1fade/","Intermediate",NA,2019-07-12,"Myntelligence is a Customer Data Platform (CDP) that enables companies to obtain a 360 degree view of their customers and to create personalised customer journeys across all digitial media to achieve their marketing objectives along the customer value lifecycle. The platform orchestrates marketing campaigns across multiple channels (display, web, offline, email, etc) implementing audience based or event-triggered based journeys. Myntelligence is looking for a Reporting Specialist. Reporting Specialists are responsible for the day to day analysis and report on online campaigns. -------------------- Key Responsibilities -------------------- The Reporting Specialist will respond to customer requests for data analysis support. The Data Reporting Specialist will work with very large data sets and lead specific projects from concept to completion, by contributing to report generation, visualization, and deliver insights to the client. The Data Reporting Specialist will perform in client-facing role and work as a collaborative team player. An ideal candidate is data-driven, detailed oriented, a creative problem solver, and is a self-starter who is excited to work in a rapidly changing industry. --------------------- Skills and Experience --------------------- • Degree in economics, mathematics, computer science, business, or related preferred • 2+ years of data analysis and reporting on advertising campaigns • Proven analytical ability to digest data, build reports, and derive tactical and strategic insights • Advanced knowledge of Microsoft Excel (including operations such as v-lookup, functions, pivot tables, etc.) • Familiarity with the DSP (preferred: DBM, Sizmek and Appnexus) and ad tech landscape • Familiarity with ad serving, tracking, and attribution technologies • Familiarity withSocial Platforms (Facebook, Twitter, Linkedin) • Familiarity with DMP Platforms (Krux, Adobe Audience Manager, Google Audience Manager, etc.) • Familiarity with SEM Platforms (AdWords, Bing Ads, DoubleClick for Search, etc.) • Ability to work independently and in a team environment while handling multiple tasks with shifting priorities --------------------- Preferred Skills and Qualifications --------------------- • Strong interest in digital media, advertising, and stays on top of emerging technologies • Proficient in MS Office Suite • Works well under pressure • Positive attitude and high energy • Eager to learn and help others to learn • Able to think out of the box and takes initiative without direction less",NA,NA,"$100k+ ","5.00 Stars, based on 1 feedback","United Kingdom",NA,5,1
"16","Competitor data analysis ""similarweb, alexa, etc.)","https://www.upwork.com/job/Competitor-data-analysis-quot-similarweb-alexa-etc_~0126787f411abb5a37/","Intermediate",50,2019-07-12,"If you are using SmilarWeb software or some other to suit our needs we are looking to purchase competitor data, domain/ subdomain view statistics.","Google Analytics",NA,"$1k+ ","5.00 Stars, based on 5 feedbacks","Ireland",NA,5,5
"17","Data scientist","https://www.upwork.com/job/Data-scientist_~01a7b8577689c39e98/","Entrylevel",100,2019-07-12,"I’m looking for an experienced R user and script writer with prior completed projects in the field of biology (preferably Ecology). This job was posted from a mobile device, so please pardon any typos or any missing details.","Data Analytics, Data Science, Mathematics,   ",NA,"$80 ","5.00 Stars, based on 1 feedback","China",NA,5,1
"18","portfolio optimization","https://www.upwork.com/job/portfolio-optimization_~01ceee4524fe5ec254/","Expert",200,2019-07-12,"I need help with my portfolio optimization project",NA,NA,"$0 ","No feedback yet","Georgia",NA,NA,NA
"19","Need a Data Analysts to analyse some booking data and interpret and present the findings:","https://www.upwork.com/job/Need-Data-Analysts-analyse-some-booking-data-and-interpret-and-present-the-findings_~0117b9cf8bd6dc292e/","Intermediate",NA,2019-07-12,"The delivery is data analytics and visualisation of a excel file. I need to extract the meaning of some booking data for our boutique hotel, and then have the findings presented in a visually appropriate way for my shareholders.","Microsoft Excel",NA,"$6k+ ","4.95 Stars, based on 19 feedbacks","Zambia",NA,4.95,19
"20","Google Analytics Setup - Track Extension Installs in the Chrome Store","https://www.upwork.com/job/Google-Analytics-Setup-Track-Extension-Installs-the-Chrome-Store_~014738904a4e1184f9/","Intermediate",40,2019-07-12,"Hello, We're looking for the right freelancer that knows how to properly setup Google Analytics to track our installs and traffic coming to our extension pages on the Google Chrome Store. - We already have the GA tracking ID added to each extension on the Chrome Store via the ""Edit"" page. - We need to know which file to add the GA tracking code to on the actually extension. We know that this is to track the extensions traffic and users.. But, we believe this helps to communicate the install numbers, as well + more. - We need to properly create the ""goal"" in Google Analytics for installs on each extension.. Assuming you can't just create it once and it will track each extension. - I need to a step by step guide on how this was done.. I'm very computer savvy, so as long as you type up a complete guide - this will be quick and painless. I'm looking to hire someone that has done this before and can get this done on the first attempt and very quickly. The price for this job is relatively low due to the fact that the right person can complete this job and get paid in under an hour of work. Just give me the steps on how to get this done, I do it once, test an install internally, note that its tracking properly, and you're done and paid! Send me a message if this job is right for you. less","Google Analytics",NA,"$200 ","No feedback yet","United States",NA,NA,NA
"21","Data Analyst (Customer Behaviour) 2 week project - User Journey Mapping","https://www.upwork.com/job/Data-Analyst-Customer-Behaviour-week-project-User-Journey-Mapping_~01e3fb2e38e0c01ee2/","Expert",NA,2019-07-12,"Data Analyst (Customer Behaviour) 2 week project - User Journey Mapping Must have: - ABN - Australian Citizen The Opportunity: Your position is vital role within the Crikey Team at Private Media, reporting to the associate publisher where your objective is to map user journeys over the lifecycle of a paid subscriber using historical data provided. The Crikey business model rests almost entirely on subscription revenue, therefore understanding the path to conversion and reasons for user churn is crucial. While we have a clear idea around insights we are hoping to discover, such as identifying content that is most likely to lead to paid subscribers or behaviours most likely to indicate churn, the right candidate will also look for unexpected, useful insights in the data that paint a richer understanding of our users. Responsibilities: • Source and prototype datasets from available audience segmentation and historical user data to map user journeys, and to inform your analysis. • Customer journey analysis, conversion rate optimisation, data analytics and implementation, data visualisation, running experiments to help inform the user conversion process and deliver customer experience and growth. • Analysis and synthesis of customer journey data to build three (3) detailed scenarios around user journey churn and conversion. (Examples include, behaviour that indicates a likelihood to churn at any point in a user life time, the type of content a user begins their Crikey journey on that indicates likelihood to convert to a paid subscriber, the average time taken for users to convert to paid subscribers and the optimal time to market to users based on this.) • Collaborate with the Crikey associate publisher and Private Media’s Digital lead to integrate and validate user journey metrics through Pardot, Parsely and Wordpress in order to provide the foundations for the user journey dashboard. • Write complex queries in SQL and write scripts to draw out useful business insights around user journeys. So what are we looking for? • Initiative, ownership and accountability for what you say you can and will do • Extensive experience with buyer behaviour and segmentation practices including customer journey mapping and audience personas. • Curiosity and a passion for analysing and using data to determine trends and patterns. • You should enjoy enabling successful commercial outcomes and supporting management to make informed decisions. • 2 years of quantitative and qualitative analyst experience (commercial or academic) • Bachelor degree or higher from a discipline that uses advanced statistical modelling (e.g., Mathematics, Statistics, Engineering, Econometrics, Marketing, Psychology, etc.). • Experience in data extraction - programming experience in SQL and a corresponding understanding of database schemas, data marts and warehouses, and be a great problem solver. • Experience with Digital Analytics tools like Adobe Analytics or Google Analytics, Parsley and Pardot. • Excellent communication skills and an affinity with data modelling, analysis, and reporting. About Us - Crikey: Crikey has been Australia’s leading independent digital news and commentary publication for almost twenty years. We push the boundaries and dig deeper to find the truth. We bring our readers the inside word on what’s really going on in politics, government, media, business, the arts, sports and other aspects of public life in Australia. We reveal how the powerful operate behind the scenes, and tackle the stories insiders are talking about, but other media can’t or won’t cover. Crikey members pay for our journalism because it takes them beyond the mainstream media, beyond the clickbait and beyond the predictability of much modern journalism. Their support allows us to maintain our fierce independence. Our Culture: We really value our culture and the way we work together to get stuff done. We are a group of hard-working, fun and caring people who will support you to have a successful and fulfilling experience with our Crikey team. We have a lean business model to offer a growing portfolio of services to a large number of readers. We offer a collaborative and fun place to work - fast-paced and outcomes focused. We are focused on continuous improvement and still have lots of room for growth and innovation. less","Google Analytics",NA,"$0 ","No feedback yet","Australia",NA,NA,NA
"22","Looking for a Data Scientist who is familiar using Rapid Miner of AlteryX","https://www.upwork.com/job/Looking-for-Data-Scientist-who-familiar-using-Rapid-Miner-AlteryX_~011d52d55f50e08b83/","Entrylevel",NA,2019-07-12,"Looking for a Data Scientist who is familiar using Rapid Miner of AlteryX. I need you to Build Predictive data models for a civics website. Willing to scrape the data is a plus (can increase budget for this), but I have the most of the data/can scra ... more",NA,NA,"$300+ ","4.94 Stars, based on 7 feedbacks","United States",NA,4.94,7
"23","Facebook/Twitter Social Media Ad Posts Data Science Project","https://www.upwork.com/job/Facebook-Twitter-Social-Media-Posts-Data-Science-Project_~01fa024a7fbff8cfb9/","Intermediate",175,2019-07-12,"Need someone to analyze Facebook & Twitter data as it pertains to CTR (click through rate), CPLC for Facebook (cost per clink click). Provided is historial post data with Facebook & Twitter advertiser posts and relevant info. I'd like to see what the effect of certain words in the Creative (columns A&B of excel - both headline and body of ad post) have on CTR. So in other words - are there certain keywords in the headline, body etc that have a higher influence of whether someone clicks, or doesn't click on the facebook/twitter ad or not (CTR - click through rate)? Preferably building model in R (separate model for both Facebook and Twitter). For deliverables, I'd like both an annotated R code so I can reproduce the results, as well as a brief write-up summary of the findings. less","R, Data Science, Modeling",NA,"$1k+ ","4.99 Stars, based on 19 feedbacks","United States",NA,4.99,19
"24","JasperSoft Enterprise implementation and Datawarehouse Implementation from Mongo DB","https://www.upwork.com/job/JasperSoft-Enterprise-implementation-and-Datawarehouse-Implementation-from-Mongo_~0123fb503017b0b036/","Intermediate",500,2019-07-11,"We are looking for an experienced professional to help us implement the Jaspersoft BI -Enterprise Edition with our Identity Server and then help us in implementing the Datawarehousing solution. We have the requirements for producing around 40 reports with some charts and around six dashboards. Our current database is using the MongoDB as the database and the solution is developed using microservice architecture. We are open for the data warehousing solution to be either Mongo or SQL. Below is our main requirements. - Implement Jaspersoft report server on Azure - Integrate our identity server with Jaspersoft Report Server - Implement a Datawarehouse solution - Help us prepare the dashboards and reports - Help us in integrating the reports to our angular app. less",NA,NA,"$1k+ ","4.60 Stars, based on 2 feedbacks","Australia",NA,4.6,2
"25","Power Business Intelligence Expert","https://www.upwork.com/job/Power-Business-Intelligence-Expert_~01b9de0768a0e23dc3/","Intermediate",NA,2019-07-11,"We are designing several complicated dashboards and google sheet scheduling templates for our company. We need an expert in optimizing power business intelligence and google sheet formulas to help put this together.",NA,NA,"$10k+ ","5.00 Stars, based on 3 feedbacks","United States",NA,5,3
"26","basic dashboard in excel","https://www.upwork.com/job/basic-dashboard-excel_~018109b400c07f77d5/","Entrylevel",NA,2019-07-11,"To create a basic dashboard about an opportunity or problem within Newcastle United. list of opportunities and problems will be provided to choose from and data will be provided at the same time.","Microsoft Excel",NA,"$100+ ","5.00 Stars, based on 2 feedbacks","United Kingdom",NA,5,2
"27","Power BI Power Query Project","https://www.upwork.com/job/Power-Power-Query-Project_~01f7f2b253ebf0c9c3/","Entrylevel",100,2019-07-11,"Overview The data in this project is from a building automation system and the data is in the form of control point trend logs. The data is from a SQL database with each table representing a control panel within a building. The project is to merge the tables into one table such that all merged fields share a common timestamp. Understanding the Source Data The attached PBIX file has the following tables (A) Several dozen “DataTables” (e.g. ""2000MTL12"") with approx. 8 fields each: ID, Timestamp, TimeChange, Mnemonic1, Mnemonic2, ..., Mnemonic6 (where “Mnemonic” is the name given for the table field names). Note that “DataTable” and “Mnemonic” are the names given to these objects in the reference table BACnet_Config. (B) BACnet_DOPR, which is a table that acts as a cross-reference between the Mnemonic name and what the table calls the “ObjectName” as well as “units”. (c) BACnet_Config, which is a table that cross-reference the Mnemonics with the DataTables they are found in. I don’t think this table is required as the Mnemonics are unique and the originating DataTable names are not needed in the WH. I mentioned the table just in case I am wrong and you need it for the query (D) A number of other tables that aren't important The Project** (1) Merge all the “DataTable” tables into a single new table where each “Mnemonic” shares a common Timestamp (which changes in 30-minute increments). - Where the Timestamp is out by a few seconds between “DataTable” tables make the seconds equal to zero to ensure that the timestamps between tables match perfectly for date and time. - Where the field called TimeChange provides a value delete this row from the tables as this is an error in the data source that supplies Timestamps that do not match the Timestamp records. (2) Replace all the “Mnemonic” field names in the new merged table with the “ObjectName”s in the BACnet_DOPR table. The Mnemonic names are unique and there is a one-to-one relationship in the BACnet_DOPR table between Mnemonic and ObjectName. ** See Excel file for example less",NA,NA,"$20k+ ","4.98 Stars, based on 11 feedbacks","Canada",NA,4.98,11
"28","SPSS Analysis","https://www.upwork.com/job/SPSS-Analysis_~01f7180f7a24de4244/","Expert",NA,2019-07-11,"Need to review my thesis and revise it as per the given feedback. Also, need the analysis(SPSS) part.",NA,NA,"$0 ","No feedback yet","India",NA,NA,NA
"29","Need Analyst to convert contact info in Excel spreadsheets to proper case","https://www.upwork.com/job/Need-Analyst-convert-contact-info-Excel-spreadsheets-proper-case_~0106083ac5447ac680/","Intermediate",NA,2019-07-11,"Need Analyst to convert contact and address info in Excel spreadsheets to proper case (Upper & Lower case). Currently the data in the spreadsheet is all UPPER CASE. Also, I need you to clean the contact names when extra initials and names are present. less",NA,NA,"$1k+ ","No feedback yet","United States",NA,NA,NA
"30","Need Help Setting Up Conversion And Attribution Tracking (Optins, Sales, And Their Source & Paths)","https://www.upwork.com/job/Need-Help-Setting-Conversion-And-Attribution-Tracking-Optins-Sales-And-Their-Source-amp-Paths_~01cc9a6797acc2c263/","Expert",NA,2019-07-11,"Hi, I'm looking to set up tracking and attribution for my marketing. The tech stack I'm currently using is: 1) Wordpress 2) Activecampaign 3) Recurly I'd like to be able to know the following: 1) When someone opts into my email capture form, w ... more","ActiveCampaign, Google Analytics",3,"$4k+ ","5.00 Stars, based on 5 feedbacks","United States",NA,5,5
"31","Qualitative survey analysis and write-up needed","https://www.upwork.com/job/Qualitative-survey-analysis-and-write-needed_~01337f4e4096752fb1/","Intermediate",500,2019-07-11,"Hi there, I am looking for someone to do some qualitative analysis of responses to open-ended survey questions, and to write up a short summary of the findings. This project is for one survey, but there will be a subsequent separate project to analyse six further surveys - one per week from 22nd July to 2nd September. I'd ideally like this second project to be undertaken by the same person as this first project, if is a success. Some additional detail: - Survey topic: I work for a UK-based charity called Think Ahead. We run a programme that recruits and trains people to become mental health social workers. The programme runs for two years, and this survey was sent to our programme participants at the end of the two years, asking them about their experience of the programme as a whole . - Number of respondents and questions: There were 40 respondents to the survey, and each answered seven open-ended questions. Most of their answers are 1-3 sentences long. - Type of analysis: I am looking for someone to carry out a thematic analysis - coding responses to each question into themes, and providing a written description of each theme, including some illustrative quotes and a sense of how common/widespread/representative each theme is. Although the analysis needs to be high quality, our ultimate goal is to clearly and accurately understand what our participants are telling us, rather than scientific perfection in and of itself. Output: A short write-up of the themes under each question (e.g. in Microsoft Word), as described above. If it is possible to share details of the analysis too, that would be ideal (e.g. in Excel or an NVivo export) - but it's not a problem if this isn't possible. - Timelines: I am hoping to commission this project asap, so that it can be finished before starting the next project on 22nd July. (Apologies for the short notice - a colleague who was due to carry out this work has had to take time off very suddenly). less",NA,NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"32","Looking for a Data Analyst to help conduct a study (Google BigQuery data set)","https://www.upwork.com/job/Looking-for-Data-Analyst-help-conduct-study-Google-BigQuery-data-set_~018144727f9b8eeef5/","Intermediate",NA,2019-07-11,"We are looking for Data Analyst/Scientist to use help us conduct a study on website speed factors based on a Google BigQuery data set (20 TB large). Your key responsibilities - Extract data from BigQuery (e.g. parsing JSON data) with either SQL, R or Python. - Visualize data and provide summary statistics - Communicate findings You will be successful in this position if you - Have experience interpreting data - Have strong skills in SQL, understanding of database and field types, ability to write SQL queries (in particular parsing JSON data) - Have strong skills in either R or Python - Are keen to keep in touch with the latest advances in your area - Have a hands-on attitude and are highly self-driven -Bonus: Have experience building and validating statistical models - Bonus: Have experience with web page attributes (CSS, HTML, etc) - Bonus: Have knowledge of SEO and/or PageSpeed Lighthouse Sounds like you? Then send us the following: - A short write-up explaining who you are and why you are the right person for the job - Examples of your work (e.g. GitHub, Scripts, PDFs, Slideshares, Kaggle, Sample Data) Thanks for your time reading this and looking forward to hearing from you. Please put ""I read this"" at the top of your application. less","R",NA,"$1k+ ","4.95 Stars, based on 21 feedbacks","Germany",NA,4.95,21
"33","BusinessObjects + Tableau Systems Expert Wanted!","https://www.upwork.com/job/BusinessObjects-Tableau-Systems-Expert-Wanted_~0180da9008d566535f/","Intermediate",NA,2019-07-11,"Looking for a full-time long-term analytics EXPERT who can work well with customers, has a reliable and quiet work area and able to assist in training and support of our world-class SAP BusinessObjects/Tableau add-on product. You'll get involved in deep technical issues, work through new product features with engineering and communicate customer needs back to development and possibly develop yourself if you have the skills. Your Competencies: * Overall 8+ years in a Business Intelligence/Analytics/Systems setting (BusinessObjects, Tableau, PowerBI, SQL, RDBMS, data analysis) * Minimum 4yr serious SQL development (tuning, DWH optimization, window/rank function mastery) * Minimum 4yr BusinessObjects report & universe development * Minimum 4yr BusinessObjects administration * Minimum 2yr Tableau administration or equivalent implementation experience * Clear and fundamental understanding of data lineage, metadata topology concepts (ability to trace information across numerous layers) * Knowledge of configuring Webi / Crystal reports against SAP BW/BEx/HANA sources * Knowledge of creating Tableau workbooks against SAP BW/BEx/HANA sources * Experience configuring Tableau clusters (sizing, troubleshooting with Logshark, TabJolt, TabMonitor) * Experience implementing BusinessObjects (server, APS splitting, etc.) * Deep discovery capabilities in diagnosis and symptom assessment * Extremely well organized and able to maintain your own calendar of customer call-backs, webex scheduling, etc * Excellent customer-facing skills: You will be discussing with and resolving issues related to our software, learning from customers about how to make it better and relaying that to the product team * Generally working a fixed schedule with 4hr overlap with US EAST timezone but required to schedule customer calls on an as-needed basis when required (this is still being assessed) * Must have an EXTREMELY quiet workspace with reliable internet and conference calling hardware - this is a REMOTE job! Major Bonus Points/Special Consideration for Candidates with: * 5yrs Java development experience * 5yrs BusinessObjects SDK/API (BOSDK) experience * Tableau API/REST * PowerBI (3yr+) less","Customer Service, SAP Business Objects, SQL Programming, ",NA,"$40k+ ","5.00 Stars, based on 26 feedbacks","United States",NA,5,26
"34","Mathematical formula for premarket stocks","https://www.upwork.com/job/Mathematical-formula-for-premarket-stocks_~01c0f5841b8a4f7335/","Expert",NA,2019-07-11,"I need to come up with a formula for the relation between volume and change% for the stocks on (https://www.investing.com/equities/pre-market). I would like the data present me with a buying or selling sentiment. The volume stays the same or increases, but the change% can go up and down. Thanks. less","Data Analytics, Mathematics",NA,"$900+ ","4.96 Stars, based on 8 feedbacks","United Kingdom",NA,4.96,8
"35","On-call Data Scientist With Python","https://www.upwork.com/job/call-Data-Scientist-With-Python_~01d521385e34500fee/","Entrylevel",NA,2019-07-11,"I need someone competent in basic python data science (pandas, numpy and scripts) who can handle various coding tasks on an ad-hoc basis. Work is mostly done through Google Colab. I run into various coding problems (like wrangling data) and need someone who can write clean code with good documentation available at least with a 24 hour period. Work will be intermittent but should be pretty easy for someone moderately experienced. less","Python",2,"$8k+ ","4.76 Stars, based on 42 feedbacks","United States",NA,4.76,42
"36","Remote Tableau Developer for UK Client","https://www.upwork.com/job/Remote-Tableau-Developer-for-Client_~013eedc49e81fc0037/","Entrylevel",NA,2019-07-11,"I am looking for a Tableau Developer to support my UK client remotely with Data Visualisation. MUST HAVE ************** Experience with Tableau connected to MS SQL Server (you do not have to be an expert as i can train in the evenings yet you must know how to present data and build a dashboard in Tableau!) Excellent communication skills Fluent in English Available 9-5 UTC Familiar with aggregations and sales metrics Available for calls Good Wifi Connection DESIRABLE ************** Experience with Tableau Online and Tableau Bridge Advanced Tableau Visualisation Skills Basic MS SQL Knowledge Start work from Monday next week as requests come in. up to £20 an hour / £150 a day (based on experience) can pay more for more advanced requests from the client. Please send me any proof of work / CV to help with the selection process. Feel free to get in touch with any questions less",NA,NA,"$200+ ","4.88 Stars, based on 3 feedbacks","United Kingdom",NA,4.88,3
"37","Website E-commerce Management.","https://www.upwork.com/job/Website-commerce-Management_~01d6249925ff5b30fd/","Intermediate",500,2019-07-11,"I Want to hire Content writing, Digital marketing, SEO, Social Media, Affiliate Marketing, Products add Photoshop editing, etc., Interested candidates can contact as soon as possible.","BigQuery, Google Analytics, Python",7,"$4k+ ","3.51 Stars, based on 7 feedbacks","Saudi Arabia",NA,3.51,7
"38","WSPID - Collect 150 names with emails - for heads of specific medical departments and locations","https://www.upwork.com/job/WSPID-Collect-150-names-with-emails-for-heads-specific-medical-departments-and-locations_~0148df6ec6bd4ddb33/","Intermediate",90,2019-07-11,"To promote an event we are organizing in Pediatric Infectious Diseases to be held in Philippines, we wish to compile a list of unit/department leaders in medical and medical research organizations according to the profile detailed below. Information required: 150 Contact details of Heads of departments or institutes, with title (optional) position & name, work email, department and organization details - all according to the template linked at the bottom of this post. Please do not submit people for whom an email cannot be found. Profile: Head (or Administrator) of Departments in Hospitals or major universities, in - Specialties (by proportions detailed): Pediatrics - approximately 50% of the collection Pediatric Infectious Diseases - 35% of the collection Infectious diseases - 15% of the collection Locations: Philippines 30 Taiwan 20 Singapore 20 Australia 20 Japan 20 South Korea 20 Thailand 20 Only one contact per department please. It should be the head. Once you are hired for the job, please send three sample records for review before commencing the full collection Input data to this sheet: Once you are hired for the job, please send three sample records for review before commencing the full collection Input data to this sheet: https://docs.google.com/spreadsheets/d/18x0_1liw-_r50LQXgaW75b1Sxf8_MsMZda3e9TjFigM/edit#gid=0 less",NA,NA,"$10k+ ","4.89 Stars, based on 95 feedbacks","Switzerland",NA,4.89,95
